Run,Assay Type,AvgSpotLen,Bases,BIOLOGICAL_SAMPLE,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,GEO_Accession (exp),treatment,tissue,sample_type
SRR9675749,ChIP-Seq,76,847094176,HCT116,PRJNA553150,SAMN12229930,289183435,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6436127,NextSeq 500,PAIRED,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-08-25T00:00:00Z,GSM3930239,Cell line,SRP214469,,5-azacytidine was obtained from SelleckChem (S1782) and HCT116 cells were cultured in the presence of 5 uM or 1:2000 DMSO control. Cells were plated in media containing 5-aza or DMSO and harvested at 24 h and 7 days. Media was refreshed with fresh 5-az...,HCT116 Cell line,
SRR9675750,ChIP-Seq,76,4179486012,HCT116,PRJNA553150,SAMN12230065,1396003142,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6436128,NextSeq 500,PAIRED,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-08-25T00:00:00Z,GSM3930240,Cell line,SRP214469,,5-azacytidine was obtained from SelleckChem (S1782) and HCT116 cells were cultured in the presence of 5 uM or 1:2000 DMSO control. Cells were plated in media containing 5-aza or DMSO and harvested at 24 h and 7 days. Media was refreshed with fresh 5-az...,HCT116 Cell line,
SRR9675751,Hi-C,150,70183065150,FHC,PRJNA553150,SAMN12230163,31476300029,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6436129,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-08-25T00:00:00Z,GSM3930267,Cell line,SRP214469,GSM3930267,NA,FHC Cell line,
SRR9675752,Hi-C,150,69464865600,FHC,PRJNA553150,SAMN12230162,33092682356,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6436130,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-08-25T00:00:00Z,GSM3930268,Cell line,SRP214469,GSM3930268,NA,FHC Cell line,
SRR9675753,Hi-C,150,42559674600,HCT116,PRJNA553150,SAMN12230161,18698812465,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6436131,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-08-25T00:00:00Z,GSM3930269,Cell line,SRP214469,GSM3930269,NA,HCT116 Cell line,
SRR9675754,Hi-C,150,43902219900,HCT116,PRJNA553150,SAMN12230160,21493094093,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6436132,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-08-25T00:00:00Z,GSM3930270,Cell line,SRP214469,GSM3930270,NA,HCT116 Cell line,
SRR9675755,Hi-C,150,52092306750,HCT116,PRJNA553150,SAMN12230159,22459931233,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6436133,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-08-25T00:00:00Z,GSM3930271,Cell line,SRP214469,GSM3930271,5-azacytidine was obtained from SelleckChem (S1782) and HCT116 cells were cultured in the presence of 5 uM or 1:2000 DMSO control. Cells were plated in media containing 5-aza or DMSO and harvested at 24 h and 7 days. Media was refreshed with fresh 5-az...,HCT116 Cell line,
SRR9675756,Hi-C,150,43987215900,HCT116,PRJNA553150,SAMN12230158,21551744355,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6436134,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-08-25T00:00:00Z,GSM3930272,Cell line,SRP214469,GSM3930272,5-azacytidine was obtained from SelleckChem (S1782) and HCT116 cells were cultured in the presence of 5 uM or 1:2000 DMSO control. Cells were plated in media containing 5-aza or DMSO and harvested at 24 h and 7 days. Media was refreshed with fresh 5-az...,HCT116 Cell line,
SRR9675757,Hi-C,150,51595627350,HCT116,PRJNA553150,SAMN12230157,22367731529,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6436135,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-08-25T00:00:00Z,GSM3930273,Cell line,SRP214469,GSM3930273,5-azacytidine was obtained from SelleckChem (S1782) and HCT116 cells were cultured in the presence of 5 uM or 1:2000 DMSO control. Cells were plated in media containing 5-aza or DMSO and harvested at 24 h and 7 days. Media was refreshed with fresh 5-az...,HCT116 Cell line,
SRR9675758,Hi-C,150,46492485000,HCT116,PRJNA553150,SAMN12230156,22658813482,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6436136,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-08-25T00:00:00Z,GSM3930274,Cell line,SRP214469,GSM3930274,5-azacytidine was obtained from SelleckChem (S1782) and HCT116 cells were cultured in the presence of 5 uM or 1:2000 DMSO control. Cells were plated in media containing 5-aza or DMSO and harvested at 24 h and 7 days. Media was refreshed with fresh 5-az...,HCT116 Cell line,
