Experiment Accession	Experiment Title	Organism Name	Instrument	Submitter	Study Accession	Study Title	Sample Accession	Sample Title	Total Size, Mb	Total RUNs	Total Spots	Total Bases	Library Name	Library Strategy	Library Source	Library Selection
SRX8246070	GSM4514012: Wi38_40_2_HiC; Homo sapiens; Hi-C	Homo sapiens	Illumina NovaSeq 6000	GEO	SRP214469	A topological atlas reveals layers of genome reorganization in colorectal cancer	SRS6593659		51619.71	1	849289835	1.69858E+11		Hi-C	GENOMIC	other
SRX8246069	GSM4514011: Wi38_40_1_HiC; Homo sapiens; Hi-C	Homo sapiens	Illumina NovaSeq 6000	GEO	SRP214469	A topological atlas reveals layers of genome reorganization in colorectal cancer	SRS6593658		48220.12	1	794189828	1.58838E+11		Hi-C	GENOMIC	other
SRX8246068	GSM4514010: Wi38_30_2_HiC; Homo sapiens; Hi-C	Homo sapiens	Illumina NovaSeq 6000	GEO	SRP214469	A topological atlas reveals layers of genome reorganization in colorectal cancer	SRS6593656		44783.62	1	723742057	1.44748E+11		Hi-C	GENOMIC	other
SRX8246067	GSM4514009: Wi38_30_1_HiC; Homo sapiens; Hi-C	Homo sapiens	Illumina NovaSeq 6000	GEO	SRP214469	A topological atlas reveals layers of genome reorganization in colorectal cancer	SRS6593657		48132.74	1	785161219	1.57032E+11		Hi-C	GENOMIC	other
SRX8246066	GSM4514008: Wi38_16_2_HiC; Homo sapiens; Hi-C	Homo sapiens	Illumina NovaSeq 6000	GEO	SRP214469	A topological atlas reveals layers of genome reorganization in colorectal cancer	SRS6593654		40488.32	1	665149592	1.3303E+11		Hi-C	GENOMIC	other
SRX8246065	GSM4514007: Wi38_16_1_HiC; Homo sapiens; Hi-C	Homo sapiens	Illumina NovaSeq 6000	GEO	SRP214469	A topological atlas reveals layers of genome reorganization in colorectal cancer	SRS6593655		39809.82	1	666421741	1.33284E+11		Hi-C	GENOMIC	other
SRX8246064	GSM4514006: wi_38_p40_2_wgbs; Homo sapiens; Bisulfite-Seq	Homo sapiens	NextSeq 500	GEO	SRP214469	A topological atlas reveals layers of genome reorganization in colorectal cancer	SRS6593653		479.7	1	7058797	1058819550		Bisulfite-Seq	GENOMIC	RANDOM
SRX8246063	GSM4514005: wi_38_p40_1_wgbs; Homo sapiens; Bisulfite-Seq	Homo sapiens	NextSeq 500	GEO	SRP214469	A topological atlas reveals layers of genome reorganization in colorectal cancer	SRS6593652		474.79	1	17317220	1316108720		Bisulfite-Seq	GENOMIC	RANDOM
SRX8246062	GSM4514004: wi_38_p30_2_wgbs; Homo sapiens; Bisulfite-Seq	Homo sapiens	NextSeq 500	GEO	SRP214469	A topological atlas reveals layers of genome reorganization in colorectal cancer	SRS6593651		503.96	1	7458007	1118701050		Bisulfite-Seq	GENOMIC	RANDOM
SRX8246061	GSM4514003: wi_38_p30_1_wgbs; Homo sapiens; Bisulfite-Seq	Homo sapiens	NextSeq 500	GEO	SRP214469	A topological atlas reveals layers of genome reorganization in colorectal cancer	SRS6593650		582.87	1	8588584	1288287600		Bisulfite-Seq	GENOMIC	RANDOM
SRX8246060	GSM4514002: wi_38_p16_2_wgbs; Homo sapiens; Bisulfite-Seq	Homo sapiens	NextSeq 500	GEO	SRP214469	A topological atlas reveals layers of genome reorganization in colorectal cancer	SRS6593649		638.97	1	9491514	1423727100		Bisulfite-Seq	GENOMIC	RANDOM
